forecast_date,target,target_end_date,location,type,quantile,value,row
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.8,8,137
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.85,9,138
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.9,10,139
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.95,11,140
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.975,13,141
2020-10-19,2 wk ahead inc death,2020-10-31,02,quantile,0.99,14,142
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.01,0,143
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.025,0,144
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.05,0,145
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.1,0,146
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.15,1,147
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.2,2,148
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.25,2,149
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.3,3,150
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.35,4,151
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.4,4,152
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.45,5,153
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.5,5,154
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.55,6,155
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.6,6,156
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.65,7,157
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.7,8,158
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.75,8,159
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.8,9,160
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.85,10,161
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.9,11,162
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.95,12,163
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.975,13,164
2020-10-19,3 wk ahead inc death,2020-11-07,02,quantile,0.99,15,165
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.01,0,166
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.025,0,167
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.05,0,168
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.1,0,169
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.15,1,170
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.2,2,171
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.25,2,172
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.3,3,173
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.35,4,174
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.4,4,175
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.45,5,176
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.5,5,177
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.55,6,178
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.6,6,179
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.65,7,180
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.7,8,181
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.75,8,182
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.8,9,183
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.85,10,184
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.9,11,185
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.95,13,186
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.975,15,187
2020-10-19,4 wk ahead inc death,2020-11-14,02,quantile,0.99,16,188
2020-10-19,1 wk ahead inc death,2020-10-24,02,point,NA,5,189
2020-10-19,2 wk ahead inc death,2020-10-31,02,point,NA,5,190
2020-10-19,3 wk ahead inc death,2020-11-07,02,point,NA,5,191
2020-10-19,4 wk ahead inc death,2020-11-14,02,point,NA,5,192
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.01,72,289
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.025,83,290
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.05,90,291
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.1,99,292
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.15,103,293
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.2,108,294
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.25,112,295
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.3,118,296
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.35,121,297
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.4,124,298
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.45,127,299
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.5,130,300
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.55,133,301
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.6,136,302
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.65,139,303
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.7,144,304
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.75,147,305
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.8,151,306
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.85,156,307
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.9,162,308
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.95,171,309
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.975,179,310
2020-10-19,1 wk ahead inc death,2020-10-24,05,quantile,0.99,188,311
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.01,53,312
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.025,66,313
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.05,78,314
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.1,92,315
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.15,99,316
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.2,103,317
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.25,108,318
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.3,112,319
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.35,117,320
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.4,121,321
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.45,125,322
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.5,130,323
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.55,134,324
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.6,138,325
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.65,142,326
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.7,146,327
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.75,150,328
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.8,155,329
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.85,160,330
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.9,170,331
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.95,181,332
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.975,188,333
2020-10-19,2 wk ahead inc death,2020-10-31,05,quantile,0.99,200,334
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.01,52,335
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.025,60,336
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.05,72,337
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.1,84,338
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.15,92,339
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.2,100,340
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.25,105,341
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.3,110,342
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.35,114,343
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.4,121,344
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.45,124,345
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.5,130,346
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.55,134,347
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.6,139,348
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.65,143,349
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.7,147,350
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.75,154,351
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.8,160,352
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.85,167,353
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.9,177,354
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.95,191,355
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.975,201,356
2020-10-19,3 wk ahead inc death,2020-11-07,05,quantile,0.99,211,357
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.01,38,358
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.025,53,359
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.05,64,360
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.1,77,361
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.15,89,362
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.2,94,363
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.25,102,364
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.3,107,365
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.35,114,366
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.4,120,367
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.45,125,368
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.5,130,369
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.55,135,370
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.6,139,371
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.65,144,372
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.7,149,373
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.75,155,374
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.8,162,375
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.85,168,376
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.9,178,377
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.95,189,378
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.975,208,379
2020-10-19,4 wk ahead inc death,2020-11-14,05,quantile,0.99,217,380
2020-10-19,1 wk ahead inc death,2020-10-24,05,point,NA,130,381
2020-10-19,2 wk ahead inc death,2020-10-31,05,point,NA,130,382
2020-10-19,3 wk ahead inc death,2020-11-07,05,point,NA,130,383
2020-10-19,4 wk ahead inc death,2020-11-14,05,point,NA,130,384
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.01,175,385
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.025,188,386
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.05,207,387
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.1,231,388
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.15,248,389
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.2,266,390
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.25,279,391
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.3,290,392
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.35,301,393
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.4,312,394
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.45,324,395
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.5,338,396
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.55,349,397
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.6,363,398
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.65,377,399
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.7,391,400
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.75,411,401
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.8,433,402
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.85,457,403
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.9,488,404
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.95,539,405
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.975,621,406
2020-10-19,1 wk ahead inc death,2020-10-24,06,quantile,0.99,691,407
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.01,104,408
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.025,125,409
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.05,147,410
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.1,171,411
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.15,193,412
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.2,208,413
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.25,225,414
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.3,238,415
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.35,253,416
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.4,265,417
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.45,281,418
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.5,292,419
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.55,305,420
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.6,322,421
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.65,339,422
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.7,356,423
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.75,375,424
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.8,405,425
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.85,445,426
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.9,497,427
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.95,615,428
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.975,735,429
2020-10-19,2 wk ahead inc death,2020-10-31,06,quantile,0.99,947,430
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.01,65,431
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.025,84,432
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.05,102,433
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.1,127,434
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.15,148,435
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.2,164,436
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.25,182,437
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.3,196,438
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.35,209,439
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.4,225,440
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.45,240,441
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.5,256,442
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.55,271,443
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.6,284,444
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.65,303,445
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.7,322,446
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.75,349,447
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.8,382,448
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.85,433,449
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.9,519,450
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.95,681,451
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.975,935,452
2020-10-19,3 wk ahead inc death,2020-11-07,06,quantile,0.99,1414,453
2020-10-19,4 wk ahead inc death,2020-11-14,06,quantile,0.01,37,454
