location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility,location_abbreviation,location_name
09,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,CT,Connecticut
09,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,CT,Connecticut
09,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,CT,Connecticut
09,UCLA-SuEIR,eligible,eligible,eligible,eligible,CT,Connecticut
09,UMass-MechBayes,eligible,eligible,eligible,eligible,CT,Connecticut
09,UT-Mobility,eligible,eligible,eligible,eligible,CT,Connecticut
09,YYG-ParamSearch,eligible,eligible,eligible,eligible,CT,Connecticut
10,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DE,Delaware
10,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,DE,Delaware
10,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,DE,Delaware
10,CU-select,eligible,eligible,eligible,eligible,DE,Delaware
10,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DE,Delaware
10,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DE,Delaware
10,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DE,Delaware
10,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DE,Delaware
10,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,DE,Delaware
10,LANL-GrowthRate,eligible,eligible,eligible,eligible,DE,Delaware
10,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,DE,Delaware
10,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DE,Delaware
10,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,DE,Delaware
10,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DE,Delaware
10,UCLA-SuEIR,eligible,eligible,eligible,eligible,DE,Delaware
10,UMass-MechBayes,eligible,eligible,eligible,eligible,DE,Delaware
10,UT-Mobility,eligible,eligible,eligible,eligible,DE,Delaware
10,YYG-ParamSearch,eligible,eligible,eligible,eligible,DE,Delaware
11,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DC,District of Columbia
11,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,DC,District of Columbia
11,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,DC,District of Columbia
11,CU-select,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DC,District of Columbia
11,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DC,District of Columbia
11,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DC,District of Columbia
11,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DC,District of Columbia
11,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DC,District of Columbia
11,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,DC,District of Columbia
11,LANL-GrowthRate,eligible,eligible,eligible,eligible,DC,District of Columbia
11,MOBS-GLEAM_COVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DC,District of Columbia
11,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,DC,District of Columbia
11,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,DC,District of Columbia
11,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,DC,District of Columbia
11,UCLA-SuEIR,eligible,eligible,eligible,eligible,DC,District of Columbia
11,UMass-MechBayes,eligible,eligible,eligible,eligible,DC,District of Columbia
11,UT-Mobility,eligible,eligible,eligible,eligible,DC,District of Columbia
11,YYG-ParamSearch,eligible,eligible,eligible,eligible,DC,District of Columbia
12,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,FL,Florida
12,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,FL,Florida
12,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,FL,Florida
12,CU-select,eligible,eligible,eligible,eligible,FL,Florida
12,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,FL,Florida
12,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,FL,Florida
12,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,FL,Florida
12,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,FL,Florida
12,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,FL,Florida
12,LANL-GrowthRate,eligible,eligible,eligible,eligible,FL,Florida
12,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,FL,Florida
12,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,FL,Florida
12,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,FL,Florida
12,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,FL,Florida
12,UCLA-SuEIR,eligible,eligible,eligible,eligible,FL,Florida
12,UMass-MechBayes,eligible,eligible,eligible,eligible,FL,Florida
12,UT-Mobility,eligible,eligible,eligible,eligible,FL,Florida
12,YYG-ParamSearch,eligible,eligible,eligible,eligible,FL,Florida
13,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,GA,Georgia
13,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,GA,Georgia
13,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,GA,Georgia
13,CU-select,eligible,eligible,eligible,eligible,GA,Georgia
13,GT_CHHS-COVID19,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,GA,Georgia
13,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,GA,Georgia
13,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,GA,Georgia
13,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,GA,Georgia
13,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,GA,Georgia
13,LANL-GrowthRate,eligible,eligible,eligible,eligible,GA,Georgia
13,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,GA,Georgia
13,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,GA,Georgia
13,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,GA,Georgia
13,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,GA,Georgia
13,UCLA-SuEIR,eligible,eligible,eligible,eligible,GA,Georgia
13,UMass-MechBayes,eligible,eligible,eligible,eligible,GA,Georgia
13,UT-Mobility,eligible,eligible,eligible,eligible,GA,Georgia
13,YYG-ParamSearch,eligible,eligible,eligible,eligible,GA,Georgia
15,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,HI,Hawaii
15,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,HI,Hawaii
15,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,HI,Hawaii
15,CU-select,eligible,eligible,eligible,eligible,HI,Hawaii
15,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,HI,Hawaii
15,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,HI,Hawaii
15,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,HI,Hawaii
15,IowaStateLW-STEM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,Visual misalignment of predictive quantiles with JHU reference data.,HI,Hawaii
15,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,HI,Hawaii
15,LANL-GrowthRate,eligible,eligible,eligible,eligible,HI,Hawaii
15,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,HI,Hawaii
15,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,HI,Hawaii
15,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,HI,Hawaii
15,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,HI,Hawaii
15,UCLA-SuEIR,eligible,eligible,eligible,eligible,HI,Hawaii
15,UMass-MechBayes,eligible,eligible,eligible,eligible,HI,Hawaii
15,UT-Mobility,eligible,eligible,eligible,eligible,HI,Hawaii
15,YYG-ParamSearch,eligible,eligible,eligible,eligible,HI,Hawaii
16,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ID,Idaho
16,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,ID,Idaho
16,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,ID,Idaho
16,CU-select,eligible,eligible,eligible,eligible,ID,Idaho
16,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,ID,Idaho
16,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ID,Idaho
16,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,ID,Idaho
16,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ID,Idaho
16,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,ID,Idaho
16,LANL-GrowthRate,eligible,eligible,eligible,eligible,ID,Idaho
16,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,ID,Idaho
16,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,ID,Idaho
16,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,ID,Idaho
16,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,ID,Idaho
16,UCLA-SuEIR,eligible,eligible,eligible,eligible,ID,Idaho
16,UMass-MechBayes,eligible,eligible,eligible,eligible,ID,Idaho
16,UT-Mobility,eligible,eligible,eligible,eligible,ID,Idaho
16,YYG-ParamSearch,eligible,eligible,eligible,eligible,ID,Idaho
17,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IL,Illinois
17,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,IL,Illinois
17,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,IL,Illinois
17,CU-select,eligible,eligible,eligible,eligible,IL,Illinois
17,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IL,Illinois
17,GT-DeepCOVID,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IL,Illinois
17,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IL,Illinois
17,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IL,Illinois
17,JHU_IDD-CovidSP,eligible,eligible,eligible,eligible,IL,Illinois
17,LANL-GrowthRate,eligible,eligible,eligible,eligible,IL,Illinois
17,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,IL,Illinois
17,NotreDame-FRED,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,IL,Illinois
17,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,IL,Illinois
17,UA-EpiCovDA,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IL,Illinois
17,UCLA-SuEIR,eligible,eligible,eligible,eligible,IL,Illinois
17,UMass-MechBayes,eligible,eligible,eligible,eligible,IL,Illinois
17,UT-Mobility,eligible,eligible,eligible,eligible,IL,Illinois
17,YYG-ParamSearch,eligible,eligible,eligible,eligible,IL,Illinois
18,Auquan-SEIR,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IN,Indiana
18,CAN-SEIR_CAN,eligible,eligible,eligible,eligible,IN,Indiana
18,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible,IN,Indiana
18,CU-select,eligible,eligible,eligible,eligible,IN,Indiana
18,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IN,Indiana
18,GT-DeepCOVID,eligible,eligible,decreasing quantiles over time,Visual misalignment of predictive quantiles with JHU reference data.,IN,Indiana
18,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible,IN,Indiana
18,IowaStateLW-STEM,eligible,eligible,eligible,Visual misalignment of predictive quantiles with JHU reference data.,IN,Indiana
18,JHU_IDD-CovidSP,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,IN,Indiana
18,LANL-GrowthRate,eligible,eligible,eligible,eligible,IN,Indiana
18,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible,IN,Indiana
18,NotreDame-FRED,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible,IN,Indiana
