location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,baseline_eligibility,overall_eligibility
10,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
11,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
11,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
11,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
11,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,GT-DeepCOVID,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
11,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
11,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
11,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
11,MITCovAlliance-SIR,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
11,MOBS-GLEAM_COVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
11,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
11,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
11,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
11,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
11,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
11,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
11,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
11,UT-Mobility,eligible,eligible,eligible,"NA",eligible
11,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
12,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
12,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
12,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
12,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
12,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
12,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
12,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
12,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
12,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
12,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
12,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
12,PSI-DRAFT,eligible,eligible,eligible,"NA",eligible
12,RobertWalraven-ESG,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
12,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
12,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
12,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
12,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
12,UT-Mobility,eligible,eligible,eligible,"NA",eligible
12,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
13,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
13,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
13,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
13,epiforecasts-ensemble1,eligible,eligible,eligible,"NA",eligible
13,GT_CHHS-COVID19,eligible,eligible,eligible,"NA",eligible
13,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,IHME-CurveFit,eligible,eligible,eligible,"NA",eligible
13,JHU_IDD-CovidSP,eligible,eligible,eligible,"NA",eligible
13,LANL-GrowthRate,eligible,eligible,eligible,"NA",eligible
13,MITCovAlliance-SIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
13,MOBS-GLEAM_COVID,eligible,eligible,eligible,"NA",eligible
13,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,NotreDame-mobility,eligible,eligible,eligible,"NA",eligible
13,OliverWyman-Navigator,eligible,eligible,eligible,"NA",eligible
13,PSI-DRAFT,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,"NA",ineligible
13,RobertWalraven-ESG,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,decreasing quantiles over time,"NA",Visual misalignment of predictive quantiles with JHU reference data.
13,UCLA-SuEIR,eligible,eligible,eligible,"NA",eligible
13,UM_CFG-RidgeTfReg,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
13,UMass-MechBayes,eligible,eligible,eligible,"NA",eligible
13,USACE-ERDC_SEIR,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
13,UT-Mobility,eligible,eligible,eligible,"NA",eligible
13,YYG-ParamSearch,eligible,eligible,eligible,"NA",eligible
15,Auquan-SEIR,missing required forecasts,eligible,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
15,Columbia_UNC-SurvCon,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
15,CovidAnalytics-DELPHI,eligible,eligible,eligible,"NA",eligible
15,COVIDhub-baseline,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
15,CU-select,eligible,eligible,eligible,"NA",Visual misalignment of predictive quantiles with JHU reference data.
15,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
15,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,"NA",ineligible
