location,model,missingness_eligibility,q10_eligibility,nondecreasing_quantiles_eligibility,overall_eligibility
04,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
04,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
04,IHME-CurveFit,eligible,eligible,eligible,eligible
04,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
04,IowaStateLW-STEM,eligible,eligible,eligible,eligible
04,LANL-GrowthRate,eligible,eligible,eligible,eligible
04,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
04,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
04,NotreDame-mobility,eligible,eligible,eligible,eligible
04,OliverWyman-Navigator,eligible,eligible,eligible,eligible
04,PSI-DRAFT,eligible,eligible,eligible,eligible
04,UA-EpiCovDA,eligible,eligible,eligible,eligible
04,UCLA-SuEIR,eligible,eligible,eligible,eligible
04,UMass-MechBayes,eligible,eligible,eligible,eligible
04,UT-Mobility,eligible,eligible,eligible,eligible
04,YYG-ParamSearch,eligible,eligible,eligible,eligible
05,Auquan-SEIR,eligible,eligible,eligible,eligible
05,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
05,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
05,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
05,CU-select,eligible,eligible,eligible,eligible
05,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
05,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
05,GT-DeepCOVID,eligible,eligible,eligible,eligible
05,IHME-CurveFit,eligible,eligible,eligible,eligible
05,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
05,IowaStateLW-STEM,eligible,eligible,eligible,eligible
05,LANL-GrowthRate,eligible,eligible,eligible,eligible
05,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
05,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
05,NotreDame-mobility,eligible,eligible,eligible,eligible
05,OliverWyman-Navigator,eligible,eligible,eligible,eligible
05,PSI-DRAFT,eligible,eligible,eligible,eligible
05,UA-EpiCovDA,eligible,eligible,eligible,eligible
05,UCLA-SuEIR,eligible,eligible,eligible,eligible
05,UMass-MechBayes,eligible,eligible,eligible,eligible
05,UT-Mobility,eligible,eligible,eligible,eligible
05,YYG-ParamSearch,eligible,eligible,eligible,eligible
06,Auquan-SEIR,eligible,eligible,eligible,eligible
06,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
06,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
06,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
06,CU-select,eligible,eligible,eligible,eligible
06,epiforecasts-ensemble1,eligible,eligible,eligible,eligible
06,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
06,GT-DeepCOVID,eligible,eligible,eligible,eligible
06,IHME-CurveFit,eligible,eligible,eligible,eligible
06,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
06,IowaStateLW-STEM,eligible,eligible,eligible,eligible
06,LANL-GrowthRate,eligible,eligible,eligible,eligible
06,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
06,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
06,NotreDame-mobility,eligible,eligible,eligible,eligible
06,OliverWyman-Navigator,eligible,eligible,eligible,eligible
06,PSI-DRAFT,eligible,eligible,eligible,eligible
06,UA-EpiCovDA,eligible,eligible,eligible,eligible
06,UCLA-SuEIR,eligible,eligible,eligible,eligible
06,UMass-MechBayes,eligible,eligible,eligible,eligible
06,UT-Mobility,eligible,eligible,eligible,eligible
06,YYG-ParamSearch,eligible,eligible,eligible,eligible
08,Auquan-SEIR,eligible,eligible,eligible,eligible
08,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
08,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
08,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
08,CU-select,eligible,eligible,eligible,eligible
08,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
08,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
08,GT-DeepCOVID,eligible,eligible,eligible,eligible
08,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
08,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
08,IowaStateLW-STEM,eligible,eligible,eligible,eligible
08,LANL-GrowthRate,eligible,eligible,eligible,eligible
08,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
08,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
08,NotreDame-mobility,eligible,eligible,eligible,eligible
08,OliverWyman-Navigator,eligible,eligible,eligible,eligible
08,PSI-DRAFT,eligible,eligible,eligible,eligible
08,UA-EpiCovDA,eligible,eligible,eligible,eligible
08,UCLA-SuEIR,eligible,eligible,eligible,eligible
08,UMass-MechBayes,eligible,eligible,eligible,eligible
08,UT-Mobility,eligible,eligible,eligible,eligible
08,YYG-ParamSearch,eligible,eligible,eligible,eligible
09,Auquan-SEIR,eligible,eligible,eligible,eligible
09,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
09,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
09,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
09,CU-select,eligible,eligible,eligible,eligible
09,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
09,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
09,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
09,IHME-CurveFit,eligible,eligible,eligible,eligible
09,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
09,IowaStateLW-STEM,eligible,eligible,eligible,eligible
09,LANL-GrowthRate,eligible,eligible,eligible,eligible
09,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
09,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
09,NotreDame-mobility,eligible,eligible,eligible,eligible
09,OliverWyman-Navigator,eligible,eligible,eligible,eligible
09,PSI-DRAFT,eligible,eligible,eligible,eligible
09,UA-EpiCovDA,eligible,eligible,eligible,eligible
09,UCLA-SuEIR,eligible,eligible,eligible,eligible
09,UMass-MechBayes,eligible,eligible,eligible,eligible
09,UT-Mobility,eligible,eligible,eligible,eligible
09,YYG-ParamSearch,eligible,eligible,eligible,eligible
10,Auquan-SEIR,eligible,eligible,eligible,eligible
10,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
10,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
10,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
10,CU-select,eligible,eligible,eligible,eligible
10,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
10,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
10,GT-DeepCOVID,eligible,eligible,eligible,eligible
10,IHME-CurveFit,eligible,eligible,eligible,eligible
10,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
10,IowaStateLW-STEM,eligible,eligible,eligible,eligible
10,LANL-GrowthRate,eligible,eligible,eligible,eligible
10,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
10,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
10,NotreDame-mobility,eligible,eligible,eligible,eligible
10,OliverWyman-Navigator,eligible,eligible,eligible,eligible
10,PSI-DRAFT,eligible,eligible,eligible,eligible
10,UA-EpiCovDA,eligible,eligible,eligible,eligible
10,UCLA-SuEIR,eligible,eligible,eligible,eligible
10,UMass-MechBayes,eligible,eligible,eligible,eligible
10,UT-Mobility,eligible,eligible,eligible,eligible
10,YYG-ParamSearch,eligible,eligible,eligible,eligible
11,Auquan-SEIR,eligible,eligible,eligible,eligible
11,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
11,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
11,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
11,CU-select,eligible,eligible,eligible,eligible
11,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
11,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
11,GT-DeepCOVID,eligible,eligible,eligible,eligible
11,IHME-CurveFit,eligible,eligible,eligible,eligible
11,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
11,IowaStateLW-STEM,eligible,eligible,eligible,eligible
11,LANL-GrowthRate,eligible,eligible,eligible,eligible
11,MOBS-GLEAM_COVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
11,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
11,NotreDame-mobility,eligible,eligible,eligible,eligible
11,OliverWyman-Navigator,eligible,eligible,eligible,eligible
11,PSI-DRAFT,eligible,eligible,eligible,eligible
11,UA-EpiCovDA,eligible,eligible,eligible,eligible
11,UCLA-SuEIR,eligible,eligible,eligible,eligible
11,UMass-MechBayes,eligible,eligible,eligible,eligible
11,UT-Mobility,eligible,eligible,eligible,eligible
11,YYG-ParamSearch,eligible,eligible,eligible,eligible
12,Auquan-SEIR,eligible,eligible,eligible,eligible
12,CAN-SEIR_CAN,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
12,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
12,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
12,CU-select,eligible,eligible,eligible,eligible
12,epiforecasts-ensemble1,eligible,eligible,eligible,eligible
12,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
12,GT-DeepCOVID,eligible,eligible,eligible,eligible
12,IHME-CurveFit,eligible,eligible,eligible,eligible
12,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
12,IowaStateLW-STEM,eligible,eligible,eligible,eligible
12,LANL-GrowthRate,eligible,eligible,eligible,eligible
12,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
12,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
12,NotreDame-mobility,eligible,eligible,eligible,eligible
12,OliverWyman-Navigator,eligible,eligible,eligible,eligible
12,PSI-DRAFT,eligible,eligible,eligible,eligible
12,UA-EpiCovDA,eligible,eligible,eligible,eligible
12,UCLA-SuEIR,eligible,eligible,eligible,eligible
12,UMass-MechBayes,eligible,eligible,eligible,eligible
12,UT-Mobility,eligible,eligible,eligible,eligible
12,YYG-ParamSearch,eligible,eligible,eligible,eligible
13,Auquan-SEIR,eligible,eligible,eligible,eligible
13,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
13,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
13,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
13,CU-select,eligible,eligible,eligible,eligible
13,epiforecasts-ensemble1,eligible,eligible,eligible,eligible
13,GT_CHHS-COVID19,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
13,GT-DeepCOVID,eligible,eligible,eligible,eligible
13,IHME-CurveFit,eligible,eligible,eligible,eligible
13,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
13,IowaStateLW-STEM,eligible,eligible,eligible,eligible
13,LANL-GrowthRate,eligible,eligible,eligible,eligible
13,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
13,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
13,NotreDame-mobility,eligible,eligible,eligible,eligible
13,OliverWyman-Navigator,eligible,eligible,eligible,eligible
13,PSI-DRAFT,eligible,eligible,eligible,eligible
13,UA-EpiCovDA,eligible,eligible,eligible,eligible
13,UCLA-SuEIR,eligible,eligible,eligible,eligible
13,UMass-MechBayes,eligible,eligible,eligible,eligible
13,UT-Mobility,eligible,eligible,eligible,eligible
13,YYG-ParamSearch,eligible,eligible,eligible,eligible
15,Auquan-SEIR,eligible,eligible,eligible,eligible
15,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
15,Covid19Sim-Simulator,eligible,eligible,eligible,eligible
15,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
15,CU-select,eligible,eligible,eligible,eligible
15,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
15,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
15,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
15,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
15,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
15,IowaStateLW-STEM,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
15,LANL-GrowthRate,eligible,eligible,eligible,eligible
15,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
15,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
15,NotreDame-mobility,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
15,OliverWyman-Navigator,eligible,eligible,eligible,eligible
15,PSI-DRAFT,eligible,eligible,eligible,eligible
15,UA-EpiCovDA,eligible,eligible,eligible,eligible
15,UCLA-SuEIR,eligible,eligible,eligible,eligible
15,UMass-MechBayes,eligible,eligible,eligible,eligible
15,UT-Mobility,eligible,eligible,eligible,eligible
15,YYG-ParamSearch,eligible,eligible,eligible,eligible
16,Auquan-SEIR,eligible,eligible,eligible,eligible
16,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
16,Covid19Sim-Simulator,eligible,eligible,eligible,eligible
16,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
16,CU-select,eligible,eligible,eligible,eligible
16,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
16,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
16,GT-DeepCOVID,eligible,eligible,eligible,eligible
16,IHME-CurveFit,eligible,eligible,eligible,eligible
16,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
16,IowaStateLW-STEM,eligible,eligible,eligible,eligible
16,LANL-GrowthRate,eligible,eligible,eligible,eligible
16,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
16,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
16,NotreDame-mobility,eligible,eligible,eligible,eligible
16,OliverWyman-Navigator,eligible,eligible,eligible,eligible
16,PSI-DRAFT,eligible,eligible,eligible,eligible
16,UA-EpiCovDA,eligible,eligible,eligible,eligible
16,UCLA-SuEIR,eligible,eligible,eligible,eligible
16,UMass-MechBayes,eligible,eligible,eligible,eligible
16,UT-Mobility,eligible,eligible,eligible,eligible
16,YYG-ParamSearch,eligible,eligible,eligible,eligible
17,Auquan-SEIR,eligible,eligible,eligible,eligible
17,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
17,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
17,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
17,CU-select,eligible,eligible,eligible,eligible
17,epiforecasts-ensemble1,eligible,eligible,eligible,eligible
17,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
17,GT-DeepCOVID,eligible,eligible,eligible,eligible
17,IHME-CurveFit,eligible,eligible,eligible,eligible
17,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
17,IowaStateLW-STEM,eligible,eligible,eligible,eligible
17,LANL-GrowthRate,eligible,eligible,eligible,eligible
17,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
17,NotreDame-FRED,eligible,eligible,eligible,eligible
17,NotreDame-mobility,eligible,eligible,eligible,eligible
17,OliverWyman-Navigator,eligible,eligible,eligible,eligible
17,PSI-DRAFT,eligible,eligible,eligible,eligible
17,UA-EpiCovDA,eligible,eligible,eligible,eligible
17,UCLA-SuEIR,eligible,eligible,eligible,eligible
17,UMass-MechBayes,eligible,eligible,eligible,eligible
17,UT-Mobility,eligible,eligible,eligible,eligible
17,YYG-ParamSearch,eligible,eligible,eligible,eligible
18,Auquan-SEIR,eligible,eligible,eligible,eligible
18,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
18,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
18,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
18,CU-select,eligible,eligible,eligible,eligible
18,epiforecasts-ensemble1,eligible,eligible,eligible,eligible
18,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
18,GT-DeepCOVID,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
18,IHME-CurveFit,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
18,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
18,IowaStateLW-STEM,eligible,eligible,eligible,eligible
18,LANL-GrowthRate,eligible,eligible,eligible,eligible
18,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
18,NotreDame-FRED,eligible,eligible,eligible,eligible
18,NotreDame-mobility,eligible,eligible,eligible,eligible
18,OliverWyman-Navigator,eligible,eligible,eligible,eligible
18,PSI-DRAFT,eligible,eligible,eligible,eligible
18,UA-EpiCovDA,eligible,eligible,eligible,eligible
18,UCLA-SuEIR,eligible,eligible,eligible,eligible
18,UMass-MechBayes,eligible,eligible,eligible,eligible
18,UT-Mobility,eligible,eligible,eligible,eligible
18,YYG-ParamSearch,eligible,eligible,eligible,eligible
19,Auquan-SEIR,eligible,eligible,eligible,eligible
19,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
19,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
19,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
19,CU-select,eligible,eligible,eligible,eligible
19,epiforecasts-ensemble1,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
19,GT_CHHS-COVID19,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
19,GT-DeepCOVID,eligible,eligible,eligible,eligible
19,IHME-CurveFit,eligible,eligible,eligible,eligible
19,Imperial-Ensemble2,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
19,IowaStateLW-STEM,eligible,eligible,eligible,eligible
19,LANL-GrowthRate,eligible,eligible,eligible,eligible
19,MOBS-GLEAM_COVID,eligible,eligible,eligible,eligible
19,NotreDame-FRED,missing required forecasts,quantile 0.1 of forecast for horizon 1 is missing,missing forecasts; cannot evaluate decreasing quantiles criterion,ineligible
19,NotreDame-mobility,eligible,eligible,eligible,eligible
19,OliverWyman-Navigator,eligible,eligible,eligible,eligible
19,PSI-DRAFT,eligible,eligible,eligible,eligible
19,UA-EpiCovDA,eligible,eligible,eligible,eligible
19,UCLA-SuEIR,eligible,eligible,eligible,eligible
19,UMass-MechBayes,eligible,eligible,eligible,eligible
19,UT-Mobility,eligible,eligible,eligible,eligible
19,YYG-ParamSearch,eligible,eligible,eligible,eligible
20,Auquan-SEIR,eligible,eligible,eligible,eligible
20,CAN-SEIR_CAN,eligible,eligible,eligible,eligible
20,Covid19Sim-Simulator,eligible,quantile 0.1 of forecast for horizon 1 is less than most recent observed,eligible,ineligible
20,CovidAnalytics-DELPHI,eligible,eligible,eligible,eligible
20,CU-select,eligible,eligible,eligible,eligible
