model,forecast_date,target,target_week_end_date,location_name,point,quantile_0.025,quantile_0.975
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Missouri,396,153,1375
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Missouri,602,203,2257
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Missouri,786,241,3155
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Montana,9,7,23
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Montana,13,7,47
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Montana,16,7,66
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Montana,17,7,81
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,34,18,94
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Nebraska,62,23,212
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Nebraska,100,29,404
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Nebraska,141,36,669
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,160,118,311
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Nevada,216,128,507
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Nevada,261,135,715
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Nevada,297,139,948
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,40,24,100
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New Hampshire,57,25,172
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New Hampshire,68,26,224
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New Hampshire,75,26,274
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,3651,2676,6392
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New Jersey,4717,3001,9820
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New Jersey,5440,3180,13268
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New Jersey,6012,3289,17459
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,38,27,83
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New Mexico,58,28,174
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New Mexico,82,33,308
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New Mexico,105,34,474
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,New York,13196,10733,17683
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,New York,16089,11327,24975
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,New York,18015,11498,32497
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,New York,19515,11524,42097
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,172,101,435
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,North Carolina,272,120,792
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,North Carolina,345,135,1066
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,North Carolina,394,143,1398
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,9,7,23
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,North Dakota,12,7,46
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,North Dakota,15,7,73
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,North Dakota,18,7,104
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,372,271,745
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Ohio,481,293,1188
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Ohio,568,308,1635
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Ohio,649,316,2202
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,175,120,348
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Arizona,273,135,690
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Arizona,385,157,1074
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Arizona,492,172,1541
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,155,101,384
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Oklahoma,247,118,767
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Oklahoma,352,140,1220
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Oklahoma,456,156,1741
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,74,57,114
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Oregon,104,64,203
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Oregon,135,73,312
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Oregon,164,81,428
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,1003,665,2123
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Pennsylvania,1539,790,3906
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Pennsylvania,1970,880,5543
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Pennsylvania,2300,935,7403
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,134,72,343
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Rhode Island,263,92,936
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Rhode Island,425,113,2130
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Rhode Island,581,128,4068
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,134,89,287
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,South Carolina,206,105,541
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,South Carolina,287,125,818
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,South Carolina,367,140,1159
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,18,7,56
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,South Dakota,43,8,155
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,South Dakota,76,10,357
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,South Dakota,110,11,740
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,188,114,378
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Tennessee,283,133,687
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Tennessee,362,150,952
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Tennessee,417,160,1220
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Texas,479,315,962
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Texas,799,376,2003
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Texas,1169,457,3284
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Texas,1526,523,4815
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Utah,28,18,71
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Utah,43,19,150
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Utah,62,22,227
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Utah,81,26,324
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,37,27,99
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Arkansas,54,28,210
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Arkansas,73,31,316
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Arkansas,92,35,429
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,30,27,52
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Vermont,34,27,88
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Vermont,39,27,133
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Vermont,43,28,182
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,245,160,557
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Virginia,415,193,1178
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Virginia,614,235,1949
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Virginia,809,264,3015
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Washington,644,567,787
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Washington,783,620,1091
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Washington,889,653,1398
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Washington,967,673,1709
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,16,6,66
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,West Virginia,29,6,150
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,West Virginia,38,6,218
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,West Virginia,43,6,274
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,217,158,428
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Wisconsin,288,174,698
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Wisconsin,339,184,928
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Wisconsin,380,189,1167
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,1,0,20
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Wyoming,4,0,53
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Wyoming,10,0,108
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Wyoming,18,0,177
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,California,908,713,1378
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,California,1224,813,2217
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,California,1461,885,2932
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,California,1624,927,3642
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,396,319,575
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Colorado,518,354,952
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Colorado,632,382,1465
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Colorado,733,404,2170
ensemble forecast,2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,1034,656,2074
ensemble forecast,2020-04-13,2 wk ahead cum death,2020-04-25,Connecticut,1763,807,4526
ensemble forecast,2020-04-13,3 wk ahead cum death,2020-05-02,Connecticut,2519,945,7655
ensemble forecast,2020-04-13,4 wk ahead cum death,2020-05-09,Connecticut,3146,1020,11262
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alabama,51,21,106
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Alaska,14,0,40
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arizona,228,102,379
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Arkansas,14,0,46
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,California,1347,736,2662
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Colorado,351,212,684
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Connecticut,513,262,942
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Delaware,27,5,88
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Florida,976,543,1909
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Georgia,286,149,627
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Hawaii,16,4,72
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Idaho,0,0,10
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Illinois,973,495,2204
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Indiana,144,74,308
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Iowa,25,3,108
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kansas,26,4,88
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Kentucky,39,7,141
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Louisiana,436,259,1040
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maine,27,6,72
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Maryland,176,85,427
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Massachusetts,965,747,1738
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Michigan,1426,931,2730
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Minnesota,48,13,249
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Mississippi,13,0,67
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Missouri,159,97,291
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Montana,22,1,58
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nebraska,8,1,58
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Nevada,52,23,169
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Hampshire,44,17,182
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Jersey,2187,1523,3553
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New Mexico,23,4,96
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,New York,12010,8994,17865
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Carolina,157,85,313
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,North Dakota,0,0,14
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Ohio,130,58,339
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oklahoma,40,10,99
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Oregon,95,38,247
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Pennsylvania,684,373,1348
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Rhode Island,37,17,97
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Carolina,83,34,227
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,South Dakota,13,0,190
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Tennessee,192,94,389
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Texas,340,197,595
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Utah,56,23,166
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Vermont,45,15,89
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Virginia,99,33,280
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Washington,611,340,1290
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,West Virginia,0,0,17
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wisconsin,157,71,325
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,Wyoming,0,0,34
CU 40% contact reduction,2020-04-13,1 wk ahead cum death,2020-04-18,US,26030,19901,38850
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alabama,91,40,238
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Alaska,21,0,70
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arizona,385,139,699
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Montana,44,5,147
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nebraska,17,1,138
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Nevada,80,28,242
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Hampshire,73,25,433
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Jersey,3176,2077,5525
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New Mexico,37,5,213
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,New York,16944,11135,25269
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kansas,42,6,218
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Kentucky,76,16,352
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Louisiana,592,288,1505
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Arkansas,21,1,107
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,California,1857,904,4486
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Colorado,517,299,1113
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Connecticut,773,370,1506
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Delaware,40,6,149
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maine,45,6,167
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Maryland,256,101,685
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Massachusetts,1372,1006,2564
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Michigan,2339,1338,4904
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Minnesota,92,29,714
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Mississippi,34,0,200
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Missouri,260,145,520
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Carolina,282,125,648
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,North Dakota,0,0,64
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Ohio,182,69,512
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oklahoma,68,15,207
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Florida,1460,715,3200
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Georgia,438,182,1214
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Hawaii,20,4,129
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Idaho,0,0,19
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Illinois,1423,646,3844
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Indiana,220,97,524
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Iowa,58,8,285
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Oregon,164,51,499
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Pennsylvania,1032,516,2136
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Rhode Island,56,26,143
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Carolina,137,48,361
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,South Dakota,39,0,458
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Tennessee,294,113,646
CU 40% contact reduction,2020-04-13,2 wk ahead cum death,2020-04-25,Texas,542,285,1190
