,quantile,value,type,location,target,forecast_date,target_end_date
72,0.010,9,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
73,0.025,9,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
74,0.050,9,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
75,0.100,9,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
76,0.150,9,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
77,0.200,9,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
78,0.250,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
79,0.300,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
80,0.350,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
81,0.400,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
82,0.450,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
83,0.500,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
84,NA,10,point,02,4 wk ahead cum death,2020-05-03,2020-05-30
85,0.550,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
86,0.600,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
87,0.650,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
88,0.700,10,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
89,0.750,11,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
90,0.800,11,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
91,0.850,11,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
92,0.900,11,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
93,0.950,13,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
94,0.975,18,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
95,0.990,92,quantile,02,4 wk ahead cum death,2020-05-03,2020-05-30
96,0.010,289,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
97,0.025,296,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
98,0.050,303,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
99,0.100,311,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
100,0.150,316,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
101,0.200,322,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
102,0.250,327,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
103,0.300,334,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
104,0.350,337,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
105,0.400,342,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
106,0.450,348,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
107,0.500,353,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
108,NA,353,point,01,1 wk ahead cum death,2020-05-03,2020-05-09
109,0.550,359,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
110,0.600,366,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
111,0.650,373,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
112,0.700,381,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
113,0.750,391,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
114,0.800,404,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
115,0.850,420,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
116,0.900,439,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
117,0.950,500,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
118,0.975,602,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
119,0.990,704,quantile,01,1 wk ahead cum death,2020-05-03,2020-05-09
120,0.010,308,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
121,0.025,317,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
122,0.050,326,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
123,0.100,337,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
124,0.150,348,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
125,0.200,357,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
126,0.250,367,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
127,0.300,376,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
128,0.350,385,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
129,0.400,395,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
130,0.450,408,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
131,0.500,421,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
132,NA,421,point,01,2 wk ahead cum death,2020-05-03,2020-05-16
133,0.550,437,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
134,0.600,452,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
135,0.650,474,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
136,0.700,500,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
137,0.750,538,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
138,0.800,590,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
139,0.850,675,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
140,0.900,878,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
141,0.950,1337,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
142,0.975,2246,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
143,0.990,4568,quantile,01,2 wk ahead cum death,2020-05-03,2020-05-16
144,0.010,320,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
145,0.025,330,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
146,0.050,340,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
147,0.100,356,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
148,0.150,372,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
149,0.200,383,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
150,0.250,394,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
151,0.300,408,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
152,0.350,426,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
153,0.400,443,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
154,0.450,464,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
155,0.500,494,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
156,NA,494,point,01,3 wk ahead cum death,2020-05-03,2020-05-23
157,0.550,523,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
158,0.600,560,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
159,0.650,617,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
160,0.700,702,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
161,0.750,823,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
162,0.800,1033,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
163,0.850,1442,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
164,0.900,2469,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
165,0.950,4959,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
166,0.975,7600,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
167,0.990,15202,quantile,01,3 wk ahead cum death,2020-05-03,2020-05-23
168,0.010,326,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
169,0.025,337,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
170,0.050,351,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
171,0.100,366,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
172,0.150,387,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
173,0.200,400,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
174,0.250,417,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
175,0.300,437,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
176,0.350,456,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
177,0.400,485,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
178,0.450,526,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
179,0.500,565,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
180,NA,565,point,01,4 wk ahead cum death,2020-05-03,2020-05-30
181,0.550,622,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
182,0.600,706,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
183,0.650,828,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
184,0.700,1063,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
185,0.750,1577,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
186,0.800,2235,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
187,0.850,3888,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
188,0.900,7377,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
189,0.950,12900,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
190,0.975,19056,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
191,0.990,24718,quantile,01,4 wk ahead cum death,2020-05-03,2020-05-30
192,0.010,70,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
193,0.025,72,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
194,0.050,74,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
195,0.100,77,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
196,0.150,79,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
197,0.200,80,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
198,0.250,82,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
199,0.300,84,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
200,0.350,85,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
201,0.400,87,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
202,0.450,89,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
203,0.500,91,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
204,NA,91,point,05,1 wk ahead cum death,2020-05-03,2020-05-09
205,0.550,92,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
206,0.600,94,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
207,0.650,96,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
208,0.700,98,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
209,0.750,101,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
210,0.800,105,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
211,0.850,109,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
212,0.900,116,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
213,0.950,129,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
214,0.975,146,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
215,0.990,178,quantile,05,1 wk ahead cum death,2020-05-03,2020-05-09
216,0.010,76,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
217,0.025,78,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
218,0.050,81,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
219,0.100,87,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
220,0.150,91,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
221,0.200,95,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
222,0.250,98,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
223,0.300,102,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
224,0.350,105,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
225,0.400,109,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
226,0.450,114,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
227,0.500,119,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
228,NA,119,point,05,2 wk ahead cum death,2020-05-03,2020-05-16
229,0.550,125,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
230,0.600,131,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
231,0.650,139,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
232,0.700,151,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
233,0.750,172,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
234,0.800,196,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
235,0.850,223,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
236,0.900,298,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
237,0.950,602,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
238,0.975,1094,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
239,0.990,1974,quantile,05,2 wk ahead cum death,2020-05-03,2020-05-16
240,0.010,80,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
241,0.025,83,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
242,0.050,87,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
243,0.100,94,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
244,0.150,100,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
245,0.200,106,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
246,0.250,112,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
247,0.300,119,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
248,0.350,125,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
249,0.400,133,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
250,0.450,143,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
251,0.500,157,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
252,NA,157,point,05,3 wk ahead cum death,2020-05-03,2020-05-23
253,0.550,174,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
254,0.600,196,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
255,0.650,225,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
256,0.700,268,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
257,0.750,366,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
258,0.800,514,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
259,0.850,729,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
260,0.900,1635,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
261,0.950,5556,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
262,0.975,11654,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
263,0.990,15974,quantile,05,3 wk ahead cum death,2020-05-03,2020-05-23
264,0.010,82,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
265,0.025,86,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
266,0.050,90,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
267,0.100,99,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
268,0.150,107,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
269,0.200,115,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
270,0.250,124,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
271,0.300,133,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
272,0.350,145,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
273,0.400,160,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
274,0.450,182,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
275,0.500,217,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
276,NA,217,point,05,4 wk ahead cum death,2020-05-03,2020-05-30
277,0.550,256,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
278,0.600,312,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
279,0.650,414,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
280,0.700,625,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
281,0.750,990,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
282,0.800,1824,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
283,0.850,3904,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
284,0.900,8939,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
285,0.950,21370,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
286,0.975,29565,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
287,0.990,34481,quantile,05,4 wk ahead cum death,2020-05-03,2020-05-30
288,0.010,342,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
289,0.025,350,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
290,0.050,354,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
291,0.100,369,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
292,0.150,377,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
293,0.200,384,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
294,0.250,390,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
295,0.300,396,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
296,0.350,402,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
297,0.400,408,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
298,0.450,413,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
299,0.500,420,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
300,NA,420,point,04,1 wk ahead cum death,2020-05-03,2020-05-09
301,0.550,427,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
302,0.600,436,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
303,0.650,443,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
304,0.700,451,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
305,0.750,463,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
306,0.800,477,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
307,0.850,494,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
308,0.900,522,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
309,0.950,571,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
310,0.975,608,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
311,0.990,692,quantile,04,1 wk ahead cum death,2020-05-03,2020-05-09
312,0.010,364,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
313,0.025,373,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
314,0.050,380,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
315,0.100,401,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
316,0.150,415,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
317,0.200,427,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
318,0.250,436,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
319,0.300,448,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
320,0.350,460,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
321,0.400,469,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
322,0.450,485,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
323,0.500,501,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
324,NA,501,point,04,2 wk ahead cum death,2020-05-03,2020-05-16
325,0.550,519,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
326,0.600,542,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
327,0.650,564,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
328,0.700,597,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
329,0.750,634,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
330,0.800,694,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
331,0.850,786,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
332,0.900,982,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
333,0.950,1572,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
334,0.975,2534,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
335,0.990,7890,quantile,04,2 wk ahead cum death,2020-05-03,2020-05-16
336,0.010,374,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
337,0.025,387,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
338,0.050,398,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
339,0.100,423,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
340,0.150,443,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
341,0.200,458,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
342,0.250,473,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
343,0.300,491,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
344,0.350,506,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
345,0.400,527,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
346,0.450,558,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
347,0.500,593,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
348,NA,593,point,04,3 wk ahead cum death,2020-05-03,2020-05-23
349,0.550,628,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
350,0.600,672,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
351,0.650,735,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
352,0.700,809,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
353,0.750,949,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
354,0.800,1235,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
355,0.850,1797,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
356,0.900,3057,quantile,04,3 wk ahead cum death,2020-05-03,2020-05-23
