,quantile,value,type,location,target,forecast_date
78,0.250,13,quantile,02,4 wk ahead cum death,2020-04-26
79,0.300,13,quantile,02,4 wk ahead cum death,2020-04-26
80,0.350,14,quantile,02,4 wk ahead cum death,2020-04-26
81,0.400,14,quantile,02,4 wk ahead cum death,2020-04-26
82,0.450,15,quantile,02,4 wk ahead cum death,2020-04-26
83,0.500,16,quantile,02,4 wk ahead cum death,2020-04-26
84,NA,16,point,02,4 wk ahead cum death,2020-04-26
85,0.550,16,quantile,02,4 wk ahead cum death,2020-04-26
86,0.600,16,quantile,02,4 wk ahead cum death,2020-04-26
87,0.650,17,quantile,02,4 wk ahead cum death,2020-04-26
88,0.700,18,quantile,02,4 wk ahead cum death,2020-04-26
89,0.750,19,quantile,02,4 wk ahead cum death,2020-04-26
90,0.800,20,quantile,02,4 wk ahead cum death,2020-04-26
91,0.850,21,quantile,02,4 wk ahead cum death,2020-04-26
92,0.900,23,quantile,02,4 wk ahead cum death,2020-04-26
93,0.950,26,quantile,02,4 wk ahead cum death,2020-04-26
94,0.975,37,quantile,02,4 wk ahead cum death,2020-04-26
95,0.990,91,quantile,02,4 wk ahead cum death,2020-04-26
96,0.010,7,quantile,02,5 wk ahead cum death,2020-04-26
97,0.025,9,quantile,02,5 wk ahead cum death,2020-04-26
98,0.050,10,quantile,02,5 wk ahead cum death,2020-04-26
99,0.100,11,quantile,02,5 wk ahead cum death,2020-04-26
100,0.150,12,quantile,02,5 wk ahead cum death,2020-04-26
101,0.200,13,quantile,02,5 wk ahead cum death,2020-04-26
102,0.250,13,quantile,02,5 wk ahead cum death,2020-04-26
103,0.300,14,quantile,02,5 wk ahead cum death,2020-04-26
104,0.350,15,quantile,02,5 wk ahead cum death,2020-04-26
105,0.400,15,quantile,02,5 wk ahead cum death,2020-04-26
106,0.450,16,quantile,02,5 wk ahead cum death,2020-04-26
107,0.500,16,quantile,02,5 wk ahead cum death,2020-04-26
108,NA,16,point,02,5 wk ahead cum death,2020-04-26
109,0.550,17,quantile,02,5 wk ahead cum death,2020-04-26
110,0.600,18,quantile,02,5 wk ahead cum death,2020-04-26
111,0.650,18,quantile,02,5 wk ahead cum death,2020-04-26
112,0.700,19,quantile,02,5 wk ahead cum death,2020-04-26
113,0.750,20,quantile,02,5 wk ahead cum death,2020-04-26
114,0.800,21,quantile,02,5 wk ahead cum death,2020-04-26
115,0.850,23,quantile,02,5 wk ahead cum death,2020-04-26
116,0.900,25,quantile,02,5 wk ahead cum death,2020-04-26
117,0.950,33,quantile,02,5 wk ahead cum death,2020-04-26
118,0.975,70,quantile,02,5 wk ahead cum death,2020-04-26
119,0.990,242,quantile,02,5 wk ahead cum death,2020-04-26
120,0.010,7,quantile,02,6 wk ahead cum death,2020-04-26
121,0.025,8,quantile,02,6 wk ahead cum death,2020-04-26
122,0.050,9,quantile,02,6 wk ahead cum death,2020-04-26
123,0.100,11,quantile,02,6 wk ahead cum death,2020-04-26
124,0.150,12,quantile,02,6 wk ahead cum death,2020-04-26
125,0.200,13,quantile,02,6 wk ahead cum death,2020-04-26
126,0.250,13,quantile,02,6 wk ahead cum death,2020-04-26
127,0.300,14,quantile,02,6 wk ahead cum death,2020-04-26
128,0.350,15,quantile,02,6 wk ahead cum death,2020-04-26
129,0.400,15,quantile,02,6 wk ahead cum death,2020-04-26
130,0.450,16,quantile,02,6 wk ahead cum death,2020-04-26
131,0.500,17,quantile,02,6 wk ahead cum death,2020-04-26
132,NA,17,point,02,6 wk ahead cum death,2020-04-26
133,0.550,17,quantile,02,6 wk ahead cum death,2020-04-26
134,0.600,18,quantile,02,6 wk ahead cum death,2020-04-26
135,0.650,19,quantile,02,6 wk ahead cum death,2020-04-26
136,0.700,20,quantile,02,6 wk ahead cum death,2020-04-26
137,0.750,21,quantile,02,6 wk ahead cum death,2020-04-26
138,0.800,23,quantile,02,6 wk ahead cum death,2020-04-26
139,0.850,25,quantile,02,6 wk ahead cum death,2020-04-26
140,0.900,30,quantile,02,6 wk ahead cum death,2020-04-26
141,0.950,48,quantile,02,6 wk ahead cum death,2020-04-26
142,0.975,152,quantile,02,6 wk ahead cum death,2020-04-26
143,0.990,717,quantile,02,6 wk ahead cum death,2020-04-26
144,0.010,7,quantile,02,7 wk ahead cum death,2020-04-26
145,0.025,9,quantile,02,7 wk ahead cum death,2020-04-26
146,0.050,9,quantile,02,7 wk ahead cum death,2020-04-26
147,0.100,11,quantile,02,7 wk ahead cum death,2020-04-26
148,0.150,12,quantile,02,7 wk ahead cum death,2020-04-26
149,0.200,13,quantile,02,7 wk ahead cum death,2020-04-26
150,0.250,14,quantile,02,7 wk ahead cum death,2020-04-26
151,0.300,14,quantile,02,7 wk ahead cum death,2020-04-26
152,0.350,15,quantile,02,7 wk ahead cum death,2020-04-26
153,0.400,16,quantile,02,7 wk ahead cum death,2020-04-26
154,0.450,16,quantile,02,7 wk ahead cum death,2020-04-26
155,0.500,17,quantile,02,7 wk ahead cum death,2020-04-26
156,NA,17,point,02,7 wk ahead cum death,2020-04-26
157,0.550,18,quantile,02,7 wk ahead cum death,2020-04-26
158,0.600,19,quantile,02,7 wk ahead cum death,2020-04-26
159,0.650,20,quantile,02,7 wk ahead cum death,2020-04-26
160,0.700,21,quantile,02,7 wk ahead cum death,2020-04-26
161,0.750,22,quantile,02,7 wk ahead cum death,2020-04-26
162,0.800,24,quantile,02,7 wk ahead cum death,2020-04-26
163,0.850,27,quantile,02,7 wk ahead cum death,2020-04-26
164,0.900,34,quantile,02,7 wk ahead cum death,2020-04-26
165,0.950,70,quantile,02,7 wk ahead cum death,2020-04-26
166,0.975,293,quantile,02,7 wk ahead cum death,2020-04-26
167,0.990,1363,quantile,02,7 wk ahead cum death,2020-04-26
168,0.010,7,quantile,02,8 wk ahead cum death,2020-04-26
169,0.025,8,quantile,02,8 wk ahead cum death,2020-04-26
170,0.050,10,quantile,02,8 wk ahead cum death,2020-04-26
171,0.100,11,quantile,02,8 wk ahead cum death,2020-04-26
172,0.150,12,quantile,02,8 wk ahead cum death,2020-04-26
173,0.200,13,quantile,02,8 wk ahead cum death,2020-04-26
174,0.250,14,quantile,02,8 wk ahead cum death,2020-04-26
175,0.300,15,quantile,02,8 wk ahead cum death,2020-04-26
176,0.350,15,quantile,02,8 wk ahead cum death,2020-04-26
177,0.400,16,quantile,02,8 wk ahead cum death,2020-04-26
178,0.450,17,quantile,02,8 wk ahead cum death,2020-04-26
179,0.500,18,quantile,02,8 wk ahead cum death,2020-04-26
180,NA,18,point,02,8 wk ahead cum death,2020-04-26
181,0.550,18,quantile,02,8 wk ahead cum death,2020-04-26
182,0.600,19,quantile,02,8 wk ahead cum death,2020-04-26
183,0.650,20,quantile,02,8 wk ahead cum death,2020-04-26
184,0.700,22,quantile,02,8 wk ahead cum death,2020-04-26
185,0.750,23,quantile,02,8 wk ahead cum death,2020-04-26
186,0.800,25,quantile,02,8 wk ahead cum death,2020-04-26
187,0.850,28,quantile,02,8 wk ahead cum death,2020-04-26
188,0.900,39,quantile,02,8 wk ahead cum death,2020-04-26
189,0.950,118,quantile,02,8 wk ahead cum death,2020-04-26
190,0.975,748,quantile,02,8 wk ahead cum death,2020-04-26
191,0.990,3052,quantile,02,8 wk ahead cum death,2020-04-26
192,0.010,8,quantile,02,9 wk ahead cum death,2020-04-26
193,0.025,9,quantile,02,9 wk ahead cum death,2020-04-26
194,0.050,10,quantile,02,9 wk ahead cum death,2020-04-26
195,0.100,11,quantile,02,9 wk ahead cum death,2020-04-26
196,0.150,12,quantile,02,9 wk ahead cum death,2020-04-26
197,0.200,13,quantile,02,9 wk ahead cum death,2020-04-26
198,0.250,14,quantile,02,9 wk ahead cum death,2020-04-26
199,0.300,14,quantile,02,9 wk ahead cum death,2020-04-26
200,0.350,15,quantile,02,9 wk ahead cum death,2020-04-26
201,0.400,16,quantile,02,9 wk ahead cum death,2020-04-26
202,0.450,17,quantile,02,9 wk ahead cum death,2020-04-26
203,0.500,18,quantile,02,9 wk ahead cum death,2020-04-26
204,NA,18,point,02,9 wk ahead cum death,2020-04-26
205,0.550,19,quantile,02,9 wk ahead cum death,2020-04-26
206,0.600,19,quantile,02,9 wk ahead cum death,2020-04-26
207,0.650,21,quantile,02,9 wk ahead cum death,2020-04-26
208,0.700,22,quantile,02,9 wk ahead cum death,2020-04-26
209,0.750,24,quantile,02,9 wk ahead cum death,2020-04-26
210,0.800,26,quantile,02,9 wk ahead cum death,2020-04-26
211,0.850,30,quantile,02,9 wk ahead cum death,2020-04-26
212,0.900,44,quantile,02,9 wk ahead cum death,2020-04-26
213,0.950,183,quantile,02,9 wk ahead cum death,2020-04-26
214,0.975,1250,quantile,02,9 wk ahead cum death,2020-04-26
215,0.990,3688,quantile,02,9 wk ahead cum death,2020-04-26
216,0.010,8,quantile,02,10 wk ahead cum death,2020-04-26
217,0.025,9,quantile,02,10 wk ahead cum death,2020-04-26
218,0.050,9,quantile,02,10 wk ahead cum death,2020-04-26
219,0.100,11,quantile,02,10 wk ahead cum death,2020-04-26
220,0.150,12,quantile,02,10 wk ahead cum death,2020-04-26
221,0.200,13,quantile,02,10 wk ahead cum death,2020-04-26
222,0.250,14,quantile,02,10 wk ahead cum death,2020-04-26
223,0.300,15,quantile,02,10 wk ahead cum death,2020-04-26
224,0.350,15,quantile,02,10 wk ahead cum death,2020-04-26
225,0.400,16,quantile,02,10 wk ahead cum death,2020-04-26
226,0.450,17,quantile,02,10 wk ahead cum death,2020-04-26
227,0.500,18,quantile,02,10 wk ahead cum death,2020-04-26
228,NA,18,point,02,10 wk ahead cum death,2020-04-26
229,0.550,19,quantile,02,10 wk ahead cum death,2020-04-26
230,0.600,20,quantile,02,10 wk ahead cum death,2020-04-26
231,0.650,21,quantile,02,10 wk ahead cum death,2020-04-26
232,0.700,23,quantile,02,10 wk ahead cum death,2020-04-26
233,0.750,25,quantile,02,10 wk ahead cum death,2020-04-26
234,0.800,27,quantile,02,10 wk ahead cum death,2020-04-26
235,0.850,33,quantile,02,10 wk ahead cum death,2020-04-26
236,0.900,48,quantile,02,10 wk ahead cum death,2020-04-26
237,0.950,309,quantile,02,10 wk ahead cum death,2020-04-26
238,0.975,2385,quantile,02,10 wk ahead cum death,2020-04-26
239,0.990,5318,quantile,02,10 wk ahead cum death,2020-04-26
240,0.010,8,quantile,02,11 wk ahead cum death,2020-04-26
241,0.025,9,quantile,02,11 wk ahead cum death,2020-04-26
242,0.050,10,quantile,02,11 wk ahead cum death,2020-04-26
243,0.100,11,quantile,02,11 wk ahead cum death,2020-04-26
244,0.150,12,quantile,02,11 wk ahead cum death,2020-04-26
245,0.200,13,quantile,02,11 wk ahead cum death,2020-04-26
246,0.250,14,quantile,02,11 wk ahead cum death,2020-04-26
247,0.300,15,quantile,02,11 wk ahead cum death,2020-04-26
248,0.350,15,quantile,02,11 wk ahead cum death,2020-04-26
249,0.400,16,quantile,02,11 wk ahead cum death,2020-04-26
250,0.450,17,quantile,02,11 wk ahead cum death,2020-04-26
251,0.500,18,quantile,02,11 wk ahead cum death,2020-04-26
252,NA,18,point,02,11 wk ahead cum death,2020-04-26
253,0.550,19,quantile,02,11 wk ahead cum death,2020-04-26
254,0.600,20,quantile,02,11 wk ahead cum death,2020-04-26
255,0.650,22,quantile,02,11 wk ahead cum death,2020-04-26
256,0.700,23,quantile,02,11 wk ahead cum death,2020-04-26
257,0.750,25,quantile,02,11 wk ahead cum death,2020-04-26
258,0.800,29,quantile,02,11 wk ahead cum death,2020-04-26
259,0.850,36,quantile,02,11 wk ahead cum death,2020-04-26
260,0.900,58,quantile,02,11 wk ahead cum death,2020-04-26
261,0.950,467,quantile,02,11 wk ahead cum death,2020-04-26
262,0.975,2958,quantile,02,11 wk ahead cum death,2020-04-26
263,0.990,6100,quantile,02,11 wk ahead cum death,2020-04-26
264,0.010,8,quantile,02,12 wk ahead cum death,2020-04-26
265,0.025,9,quantile,02,12 wk ahead cum death,2020-04-26
266,0.050,10,quantile,02,12 wk ahead cum death,2020-04-26
267,0.100,11,quantile,02,12 wk ahead cum death,2020-04-26
268,0.150,12,quantile,02,12 wk ahead cum death,2020-04-26
269,0.200,13,quantile,02,12 wk ahead cum death,2020-04-26
270,0.250,14,quantile,02,12 wk ahead cum death,2020-04-26
271,0.300,15,quantile,02,12 wk ahead cum death,2020-04-26
272,0.350,15,quantile,02,12 wk ahead cum death,2020-04-26
273,0.400,16,quantile,02,12 wk ahead cum death,2020-04-26
274,0.450,17,quantile,02,12 wk ahead cum death,2020-04-26
275,0.500,18,quantile,02,12 wk ahead cum death,2020-04-26
276,NA,18,point,02,12 wk ahead cum death,2020-04-26
277,0.550,20,quantile,02,12 wk ahead cum death,2020-04-26
278,0.600,21,quantile,02,12 wk ahead cum death,2020-04-26
279,0.650,22,quantile,02,12 wk ahead cum death,2020-04-26
280,0.700,24,quantile,02,12 wk ahead cum death,2020-04-26
281,0.750,26,quantile,02,12 wk ahead cum death,2020-04-26
282,0.800,30,quantile,02,12 wk ahead cum death,2020-04-26
283,0.850,38,quantile,02,12 wk ahead cum death,2020-04-26
284,0.900,71,quantile,02,12 wk ahead cum death,2020-04-26
285,0.950,754,quantile,02,12 wk ahead cum death,2020-04-26
286,0.975,4034,quantile,02,12 wk ahead cum death,2020-04-26
287,0.990,6332,quantile,02,12 wk ahead cum death,2020-04-26
288,0.010,7,quantile,02,13 wk ahead cum death,2020-04-26
289,0.025,9,quantile,02,13 wk ahead cum death,2020-04-26
290,0.050,10,quantile,02,13 wk ahead cum death,2020-04-26
291,0.100,11,quantile,02,13 wk ahead cum death,2020-04-26
292,0.150,13,quantile,02,13 wk ahead cum death,2020-04-26
293,0.200,14,quantile,02,13 wk ahead cum death,2020-04-26
294,0.250,14,quantile,02,13 wk ahead cum death,2020-04-26
295,0.300,15,quantile,02,13 wk ahead cum death,2020-04-26
296,0.350,16,quantile,02,13 wk ahead cum death,2020-04-26
297,0.400,17,quantile,02,13 wk ahead cum death,2020-04-26
298,0.450,18,quantile,02,13 wk ahead cum death,2020-04-26
299,0.500,19,quantile,02,13 wk ahead cum death,2020-04-26
300,NA,19,point,02,13 wk ahead cum death,2020-04-26
301,0.550,19,quantile,02,13 wk ahead cum death,2020-04-26
302,0.600,21,quantile,02,13 wk ahead cum death,2020-04-26
303,0.650,22,quantile,02,13 wk ahead cum death,2020-04-26
304,0.700,24,quantile,02,13 wk ahead cum death,2020-04-26
305,0.750,26,quantile,02,13 wk ahead cum death,2020-04-26
306,0.800,32,quantile,02,13 wk ahead cum death,2020-04-26
307,0.850,41,quantile,02,13 wk ahead cum death,2020-04-26
308,0.900,92,quantile,02,13 wk ahead cum death,2020-04-26
309,0.950,1138,quantile,02,13 wk ahead cum death,2020-04-26
310,0.975,4585,quantile,02,13 wk ahead cum death,2020-04-26
311,0.990,6608,quantile,02,13 wk ahead cum death,2020-04-26
312,0.010,7,quantile,02,14 wk ahead cum death,2020-04-26
313,0.025,8,quantile,02,14 wk ahead cum death,2020-04-26
314,0.050,10,quantile,02,14 wk ahead cum death,2020-04-26
315,0.100,11,quantile,02,14 wk ahead cum death,2020-04-26
316,0.150,12,quantile,02,14 wk ahead cum death,2020-04-26
317,0.200,13,quantile,02,14 wk ahead cum death,2020-04-26
318,0.250,14,quantile,02,14 wk ahead cum death,2020-04-26
319,0.300,15,quantile,02,14 wk ahead cum death,2020-04-26
320,0.350,16,quantile,02,14 wk ahead cum death,2020-04-26
321,0.400,17,quantile,02,14 wk ahead cum death,2020-04-26
322,0.450,18,quantile,02,14 wk ahead cum death,2020-04-26
323,0.500,19,quantile,02,14 wk ahead cum death,2020-04-26
324,NA,19,point,02,14 wk ahead cum death,2020-04-26
325,0.550,19,quantile,02,14 wk ahead cum death,2020-04-26
326,0.600,21,quantile,02,14 wk ahead cum death,2020-04-26
327,0.650,22,quantile,02,14 wk ahead cum death,2020-04-26
328,0.700,24,quantile,02,14 wk ahead cum death,2020-04-26
329,0.750,27,quantile,02,14 wk ahead cum death,2020-04-26
330,0.800,33,quantile,02,14 wk ahead cum death,2020-04-26
331,0.850,45,quantile,02,14 wk ahead cum death,2020-04-26
332,0.900,96,quantile,02,14 wk ahead cum death,2020-04-26
333,0.950,1646,quantile,02,14 wk ahead cum death,2020-04-26
334,0.975,4373,quantile,02,14 wk ahead cum death,2020-04-26
335,0.990,6728,quantile,02,14 wk ahead cum death,2020-04-26
336,0.010,7,quantile,02,15 wk ahead cum death,2020-04-26
337,0.025,8,quantile,02,15 wk ahead cum death,2020-04-26
338,0.050,10,quantile,02,15 wk ahead cum death,2020-04-26
339,0.100,11,quantile,02,15 wk ahead cum death,2020-04-26
340,0.150,12,quantile,02,15 wk ahead cum death,2020-04-26
341,0.200,13,quantile,02,15 wk ahead cum death,2020-04-26
342,0.250,14,quantile,02,15 wk ahead cum death,2020-04-26
343,0.300,15,quantile,02,15 wk ahead cum death,2020-04-26
344,0.350,16,quantile,02,15 wk ahead cum death,2020-04-26
345,0.400,17,quantile,02,15 wk ahead cum death,2020-04-26
346,0.450,18,quantile,02,15 wk ahead cum death,2020-04-26
347,0.500,19,quantile,02,15 wk ahead cum death,2020-04-26
348,NA,19,point,02,15 wk ahead cum death,2020-04-26
349,0.550,19,quantile,02,15 wk ahead cum death,2020-04-26
350,0.600,21,quantile,02,15 wk ahead cum death,2020-04-26
351,0.650,23,quantile,02,15 wk ahead cum death,2020-04-26
352,0.700,24,quantile,02,15 wk ahead cum death,2020-04-26
353,0.750,27,quantile,02,15 wk ahead cum death,2020-04-26
354,0.800,32,quantile,02,15 wk ahead cum death,2020-04-26
355,0.850,44,quantile,02,15 wk ahead cum death,2020-04-26
356,0.900,108,quantile,02,15 wk ahead cum death,2020-04-26
357,0.950,2044,quantile,02,15 wk ahead cum death,2020-04-26
358,0.975,5055,quantile,02,15 wk ahead cum death,2020-04-26
359,0.990,6635,quantile,02,15 wk ahead cum death,2020-04-26
360,0.010,7,quantile,02,16 wk ahead cum death,2020-04-26
361,0.025,9,quantile,02,16 wk ahead cum death,2020-04-26
362,0.050,10,quantile,02,16 wk ahead cum death,2020-04-26
363,0.100,11,quantile,02,16 wk ahead cum death,2020-04-26
364,0.150,12,quantile,02,16 wk ahead cum death,2020-04-26
365,0.200,13,quantile,02,16 wk ahead cum death,2020-04-26
366,0.250,14,quantile,02,16 wk ahead cum death,2020-04-26
367,0.300,15,quantile,02,16 wk ahead cum death,2020-04-26
368,0.350,16,quantile,02,16 wk ahead cum death,2020-04-26
369,0.400,17,quantile,02,16 wk ahead cum death,2020-04-26
370,0.450,18,quantile,02,16 wk ahead cum death,2020-04-26
371,0.500,19,quantile,02,16 wk ahead cum death,2020-04-26
372,NA,19,point,02,16 wk ahead cum death,2020-04-26
373,0.550,20,quantile,02,16 wk ahead cum death,2020-04-26
374,0.600,21,quantile,02,16 wk ahead cum death,2020-04-26
375,0.650,23,quantile,02,16 wk ahead cum death,2020-04-26
376,0.700,25,quantile,02,16 wk ahead cum death,2020-04-26
377,0.750,28,quantile,02,16 wk ahead cum death,2020-04-26
378,0.800,33,quantile,02,16 wk ahead cum death,2020-04-26
379,0.850,50,quantile,02,16 wk ahead cum death,2020-04-26
380,0.900,137,quantile,02,16 wk ahead cum death,2020-04-26
381,0.950,2672,quantile,02,16 wk ahead cum death,2020-04-26
382,0.975,5433,quantile,02,16 wk ahead cum death,2020-04-26
383,0.990,7235,quantile,02,16 wk ahead cum death,2020-04-26
384,0.010,7,quantile,02,17 wk ahead cum death,2020-04-26
385,0.025,8,quantile,02,17 wk ahead cum death,2020-04-26
386,0.050,10,quantile,02,17 wk ahead cum death,2020-04-26
387,0.100,11,quantile,02,17 wk ahead cum death,2020-04-26
388,0.150,12,quantile,02,17 wk ahead cum death,2020-04-26
389,0.200,13,quantile,02,17 wk ahead cum death,2020-04-26
390,0.250,14,quantile,02,17 wk ahead cum death,2020-04-26
391,0.300,15,quantile,02,17 wk ahead cum death,2020-04-26
392,0.350,16,quantile,02,17 wk ahead cum death,2020-04-26
393,0.400,17,quantile,02,17 wk ahead cum death,2020-04-26
394,0.450,18,quantile,02,17 wk ahead cum death,2020-04-26
395,0.500,19,quantile,02,17 wk ahead cum death,2020-04-26
396,NA,19,point,02,17 wk ahead cum death,2020-04-26
397,0.550,20,quantile,02,17 wk ahead cum death,2020-04-26
398,0.600,22,quantile,02,17 wk ahead cum death,2020-04-26
399,0.650,23,quantile,02,17 wk ahead cum death,2020-04-26
400,0.700,26,quantile,02,17 wk ahead cum death,2020-04-26
401,0.750,29,quantile,02,17 wk ahead cum death,2020-04-26
402,0.800,35,quantile,02,17 wk ahead cum death,2020-04-26
403,0.850,53,quantile,02,17 wk ahead cum death,2020-04-26
404,0.900,162,quantile,02,17 wk ahead cum death,2020-04-26
405,0.950,2905,quantile,02,17 wk ahead cum death,2020-04-26
406,0.975,5839,quantile,02,17 wk ahead cum death,2020-04-26
407,0.990,8193,quantile,02,17 wk ahead cum death,2020-04-26
408,0.010,8,quantile,02,18 wk ahead cum death,2020-04-26
409,0.025,9,quantile,02,18 wk ahead cum death,2020-04-26
410,0.050,10,quantile,02,18 wk ahead cum death,2020-04-26
411,0.100,11,quantile,02,18 wk ahead cum death,2020-04-26
412,0.150,12,quantile,02,18 wk ahead cum death,2020-04-26
413,0.200,13,quantile,02,18 wk ahead cum death,2020-04-26
414,0.250,14,quantile,02,18 wk ahead cum death,2020-04-26
415,0.300,15,quantile,02,18 wk ahead cum death,2020-04-26
416,0.350,16,quantile,02,18 wk ahead cum death,2020-04-26
417,0.400,17,quantile,02,18 wk ahead cum death,2020-04-26
418,0.450,18,quantile,02,18 wk ahead cum death,2020-04-26
419,0.500,19,quantile,02,18 wk ahead cum death,2020-04-26
420,NA,19,point,02,18 wk ahead cum death,2020-04-26
421,0.550,20,quantile,02,18 wk ahead cum death,2020-04-26
422,0.600,21,quantile,02,18 wk ahead cum death,2020-04-26
423,0.650,23,quantile,02,18 wk ahead cum death,2020-04-26
424,0.700,26,quantile,02,18 wk ahead cum death,2020-04-26
425,0.750,29,quantile,02,18 wk ahead cum death,2020-04-26
426,0.800,36,quantile,02,18 wk ahead cum death,2020-04-26
427,0.850,59,quantile,02,18 wk ahead cum death,2020-04-26
428,0.900,191,quantile,02,18 wk ahead cum death,2020-04-26
429,0.950,3641,quantile,02,18 wk ahead cum death,2020-04-26
430,0.975,5737,quantile,02,18 wk ahead cum death,2020-04-26
431,0.990,7985,quantile,02,18 wk ahead cum death,2020-04-26
432,0.010,7,quantile,02,19 wk ahead cum death,2020-04-26
433,0.025,9,quantile,02,19 wk ahead cum death,2020-04-26
434,0.050,10,quantile,02,19 wk ahead cum death,2020-04-26
435,0.100,11,quantile,02,19 wk ahead cum death,2020-04-26
436,0.150,12,quantile,02,19 wk ahead cum death,2020-04-26
