forecast_date,target,target_end_date,location,type,quantile, value ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.25," 12,418 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.3," 13,039 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.35," 13,660 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.4," 14,281 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.45," 14,902 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.5," 15,523 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.55," 15,898 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.6," 16,274 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.65," 16,649 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.7," 17,025 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.75," 17,400 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.8," 17,608 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.85," 17,816 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.9," 18,025 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.95," 18,233 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.975," 18,337 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,US,quantile,0.99," 20,297 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,point,NA," 470,572 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.01," 455,370 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.025," 459,635 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.05," 460,505 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.1," 462,246 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.15," 463,986 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.2," 465,727 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.25," 467,467 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.3," 468,088 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.35," 468,709 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.4," 469,330 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.45," 469,951 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.5," 470,572 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.55," 471,348 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.6," 472,124 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.65," 472,901 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.7," 473,677 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.75," 474,453 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.8," 474,951 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.85," 475,449 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.9," 475,948 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.95," 476,446 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.975," 476,695 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,US,quantile,0.99," 480,960 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,point,NA," 16,111 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.01," 7,021 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.025," 9,804 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.05," 10,147 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.1," 10,832 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.15," 11,518 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.2," 12,203 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.25," 12,889 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.3," 13,533 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.35," 14,178 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.4," 14,822 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.45," 15,467 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.5," 16,111 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.55," 16,755 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.6," 17,398 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.65," 18,042 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.7," 18,685 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.75," 19,329 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.8," 19,686 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.85," 20,043 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.9," 20,400 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.95," 20,757 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.975," 20,935 ",,,,,,,,
2021-01-30,3 wk ahead inc death,2021-02-19,US,quantile,0.99," 23,718 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,point,NA," 486,683 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.01," 462,391 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.025," 469,439 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.05," 470,997 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.1," 474,113 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.15," 477,229 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.2," 480,345 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.25," 483,461 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.3," 484,105 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.35," 484,750 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.4," 485,394 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.45," 486,039 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.5," 486,683 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.55," 487,489 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.6," 488,294 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.65," 489,100 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.7," 489,905 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.75," 490,711 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.8," 492,248 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.85," 493,786 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.9," 495,324 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.95," 496,861 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.975," 497,630 ",,,,,,,,
2021-01-30,3 wk ahead cum death,2021-02-19,US,quantile,0.99," 504,678 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,point,NA," 14,234 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.01," 4,659 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.025," 7,796 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.05," 8,195 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.1," 8,993 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.15," 9,791 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.2," 10,589 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.25," 11,387 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.3," 11,957 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.35," 12,526 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.4," 13,095 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.45," 13,665 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.5," 14,234 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.55," 14,946 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.6," 15,657 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.65," 16,369 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.7," 17,081 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.75," 17,793 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.8," 18,360 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.85," 18,927 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.9," 19,495 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.95," 20,062 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.975," 20,346 ",,,,,,,,
2021-01-30,4 wk ahead inc death,2021-02-26,US,quantile,0.99," 23,484 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,point,NA," 500,917 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.01," 467,050 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.025," 477,235 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.05," 479,550 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.1," 484,180 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.15," 488,810 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.2," 493,440 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.25," 498,070 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.3," 498,640 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.35," 499,209 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.4," 499,778 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.45," 500,348 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.5," 500,917 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.55," 501,629 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.6," 502,340 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.65," 503,052 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.7," 503,764 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.75," 504,476 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.8," 507,476 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.85," 510,476 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.9," 513,476 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.95," 516,476 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.975," 517,976 ",,,,,,,,
2021-01-30,4 wk ahead cum death,2021-02-26,US,quantile,0.99," 528,161 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,point,NA, 673 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.01, 62 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.025, 327 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.05, 351 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.1, 398 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.15, 444 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.2, 491 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.25, 538 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.3, 565 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.35, 592 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.4, 619 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.45, 646 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.5, 673 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.55, 707 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.6, 740 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.65, 774 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.7, 808 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.75, 841 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.8, 963 ,,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.85," 1,084 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.9," 1,206 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.95," 1,327 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.975," 1,388 ",,,,,,,,
2021-01-30,1 wk ahead inc death,2021-02-05,01,quantile,0.99," 1,653 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,point,NA," 8,239 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.01," 7,628 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.025," 7,893 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.05," 7,917 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.1," 7,964 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.15," 8,010 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.2," 8,057 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.25," 8,104 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.3," 8,131 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.35," 8,158 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.4," 8,185 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.45," 8,212 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.5," 8,239 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.55," 8,273 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.6," 8,306 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.65," 8,340 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.7," 8,374 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.75," 8,407 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.8," 8,529 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.85," 8,650 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.9," 8,772 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.95," 8,893 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.975," 8,954 ",,,,,,,,
2021-01-30,1 wk ahead cum death,2021-02-05,01,quantile,0.99," 9,219 ",,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,point,NA, 409 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.01, 110 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.025, 231 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.05, 242 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.1, 263 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.15, 284 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.2, 306 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.25, 327 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.3, 344 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.35, 360 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.4, 376 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.45, 393 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.5, 409 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.55, 430 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.6, 450 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.65, 470 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.7, 491 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.75, 511 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.8, 556 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.85, 601 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.9, 646 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.95, 692 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.975, 714 ,,,,,,,,
2021-01-30,2 wk ahead inc death,2021-02-12,01,quantile,0.99, 835 ,,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,point,NA," 8,648 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.01," 7,738 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.025," 8,124 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.05," 8,173 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.1," 8,271 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.15," 8,370 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.2," 8,468 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.25," 8,566 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.3," 8,583 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.35," 8,599 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.4," 8,615 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.45," 8,632 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.5," 8,648 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.55," 8,669 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.6," 8,689 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.65," 8,709 ",,,,,,,,
2021-01-30,2 wk ahead cum death,2021-02-12,01,quantile,0.7," 8,730 ",,,,,,,,
